food,Nutrition Density
catjang cowpeas cooked,56.7
baby lima beans cooked,58.952
cowpeas raw,108.4
shellie beans canned,28.668
yardlong beans raw,412.2
pinto beans canned,177.7
chickpeas cooked,163.4
cranberry beans raw,470.1
mungo beans cooked,159.5
tamarinds,1.708
yellow snap beans cooked,17.003
yardlong beans cooked,58.2
bacon beef steak,25.4
lamb foreshank raw,204
bacon,14.8
lamb rib cooked,190.1
lamb shank raw,189.6
scrapple,13.63
chicken nuggets,10.792
ground lamb cooked,213.5
lamb meat cooked,153.6
meat extender,275.3
lamb leg raw,206.9
lamb loin cooked,44.9
chicken patty,40.5
lamb shank roasted,136.7
barbecue loaf,20.1
lamb sirloin cooked,152.7
poultry salad,5.781
ground lamb raw,16.2
lamb loin raw,16.8
lamb sirloin raw,229.8
sausage patty mcdonalds,22.7
lamb foreshank cooked,94.7
ham salad,19.6
lamb rib raw,296.2
lamb shoulder raw,251.9
lamb meat raw,225.9
lamb shoulder cooked,175.7
mutton cooked,16.744
lamb leg cooked,145.8
beef stick,31
veal sirloin cooked,128.4
