food,Protein
basil dried,0.2
dandelion greens cooked,2.1
basil fresh,0.2
dock,2.7
garden cress cooked,2.6
onion powder,0.2
dandelion greens raw,1.5
yokan,0.5
fava beans cooked,12.9
french beans raw,34.6
chickpeas canned,17.8
yellow beans cooked,16.2
mung beans cooked,14.2
white beans canned,19
pink beans cooked,15.3
pink beans raw,44
navy beans raw,46.4
snap beans cooked,2.4
black eyed cowpeas raw,4.3
edamame cooked,18.5
black eyed cowpeas cooked,5.2
hyacinth beans cooked,15.8
cowpeas canned,11.4
pinto beans cooked,15.4
winged beans cooked,18.3
pinto beans raw,41.3
black turtle beans raw,39.1
fava beans raw,39.2
lima beans canned,11.9
hyacinth beans raw,50.2
white beans raw,47.2
snap beans canned,3.5
navy beans canned,19.7
mung beans raw,49.4
adzuki beans raw,39.1
black turtle beans cooked,15.1
pink lentils raw,47.9
yellow beans raw,43.1
white beans cooked,17.4
lentils raw,49.5
cranberry beans cooked,16.5
chickpeas raw,38.6
lentils cooked,17.9
baked beans canned,12.1
cranberry beans canned,14.4
black beans cooked,15.2
lima beans cooked,14.7
mungo beans raw,52.2
pigeon peas raw,44.5
fava beans canned,14
yellow snap beans raw,1.8
snap beans raw,1.8
yellow snap beans canned,1.9
pigeon peas cooked,11.4
catjang cowpeas raw,39.8
navy beans cooked,15
mothbeans raw,45
cowpeas cooked,5.4
mothbeans cooked,13.8
french beans cooked,12.5
lima beans raw,38.2
winged beans raw,54
adzuki beans cooked,17.3
black beans raw,41.9
catjang cowpeas cooked,13.9
baby lima beans cooked,12
cowpeas raw,3.1
shellie beans canned,4.3
yardlong beans raw,40.6
pinto beans canned,11
chickpeas cooked,14.5
cranberry beans raw,44.9
mungo beans cooked,13.6
tamarinds,0.057
yellow snap beans cooked,2.4
yardlong beans cooked,14.2
bacon beef steak,8.2
lamb foreshank raw,85.8
bacon,3.3
lamb rib cooked,53.9
lamb shank raw,84.3
scrapple,2.3
chicken nuggets,3.2
ground lamb cooked,77.5
lamb meat cooked,63.8
meat extender,33.5
lamb leg raw,81.2
lamb loin cooked,16.1
chicken patty,8.9
lamb shank roasted,71
barbecue loaf,3.6
lamb sirloin cooked,64.5
poultry salad,1.5
ground lamb raw,4.7
lamb loin raw,4.6
lamb sirloin raw,76.8
sausage patty mcdonalds,4.3
lamb foreshank cooked,42
ham salad,3.9
lamb rib raw,65.9
lamb shoulder raw,75.2
lamb meat raw,79.6
lamb shoulder cooked,62.5
mutton cooked,9.5
lamb leg cooked,67.7
beef stick,4.3
veal sirloin cooked,64.1
veal rib cooked,57.4
veal meat cooked,62.9
beef rib roasted,15.4
veal sirloin raw,86.5
beef top loin filet grilled,37
beef under blade steak cooked,140.8
mock tender steak raw,42.2
ground beef cooked,35.5
ground beef raw,65.1
beef diced asda,0
veal rib raw,85.5
ground veal raw,5.5
t bone steak cooked,89.3
veal leg round raw,95.2
beef top sirloin steak raw,123.4
beef plate steak grilled,47.1
ground veal cooked,72.9
veal leg round cooked,98.4
porterhouse steak raw,81.6
