food,Sodium,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc
taro leaves cooked,0.3,124.7,0.2,1.7,29,0.5,39.2,667,0.035,0.3
leeks cooked,0.067,37.2,0.038,1.4,17.4,0.3,21.1,107.9,0.004,0.057
split peas cooked,0.5,27.4,0.4,2.5,70.6,0.8,194,709.5,0.059,2
sweet corn yellow,0.05,0,3.7,0.075,0.3,16.8,0.014,46.7,135.8,0.029
asparagus raw,0.047,0.088,2.9,0.039,0.3,1.7,0.068,6.2,24.2,0.058
collard cooked,0.013,267.9,0.077,2.1,39.9,1,60.8,222.3,0.062,0.4
swiss chard cooked,0.7,101.5,0.3,4,150.5,0.6,57.8,960.8,0.083,0.6
nopales cooked,0.087,244.4,0.05,0.7,70,0.6,23.8,290.6,0.043,0.3
tahitian taro cooked,0.4,204.1,0.1,2.1,69.9,0.2,91.8,853.5,0.085,0.1
chinese cabbage pak choi raw,0.087,73.5,0.021,0.6,13.3,0.1,25.9,176.4,0.083,0.1
green chili pepper,0.023,0.017,8.1,0.059,0.5,11.3,0.1,20.7,153,0.055
mountain yam raw,0.021,35.4,0.1,0.6,16.3,0.3,46.2,568.5,0.056,0.4
parsnips cooked,0.021,0.065,59.2,0.2,0.9,46.4,0.5,110.4,587.2,0.056
tomato stewed,0.6,0,32,0.1,1.3,18.5,0.2,46.7,303.8,0.08
sweet green peppers cooked,0.2,6.6,0.092,0.3,7.3,0.032,13.1,121.2,0.09,0.009
white corn raw,0.088,0.081,3.3,0.5,0.9,61.4,0.8,147.7,448.2,0.096
rutabaga raw,0.061,332,0.2,3.4,154.4,1,409.2,2354.6,0.041,1.9
jalapeno peppers canned,2.3,31.3,0.2,2.6,20.4,0.2,24.5,262.5,0.03,0.5
pumpkin canned,0.6,63.7,0.3,3.4,56.4,0.4,85.8,504.7,0.064,0.4
peas onions canned,0.5,20.4,0.1,1,19.2,0.3,61.2,115.2,0.061,0.7
sweet mashed potato canned,0.2,76.5,0.7,3.4,61.2,2.5,132.6,535.5,0.016,0.5
hominy canned,0.6,16.5,0.081,1,26.4,0.1,57.8,14.9,0.03,1.7
tomato puree canned,0.002,0.038,45,0.7,4.5,57.5,0.4,100,1097.5,0.001
dried tomatoes canned in oil,0.056,1.4,0.032,0.057,2.4,0.084,4.2,47,0.063,0.038
mixed vegetables canned,0.5,0,51.5,0.3,1.6,36.8,1,90.7,338.1,0.02
straw mushrooms canned,0.049,0,0.6,0.06,0.015,0.4,0.088,3.4,4.3,0.083
capers canned,0.2,3.4,0.049,0.1,2.8,0.037,0.9,3.4,0.042,0.092
red peppers canned,0.9,5.1,0.076,0.4,10.2,0.1,12.4,136.5,0.027,0.1
carrots canned,0.2,0.028,140.7,0.5,2.4,40.9,2,90.8,717.3,0.1
tomatoes in tomato juice canned,0.3,74.4,0.2,2.3,26.4,0.2,45.6,451.2,0.06,0.3
asparagus canned,0.1,61.7,0.4,2.5,37,0.6,156.2,706.9,0.025,1.9
sweet red peppers canned,1.9,57.4,0.2,1.1,15.4,0.2,28,204.4,0.088,0.3
onions canned,0.2,28.4,0.042,0.011,3.8,0.074,17.6,69.9,0.025,0.2
turnip greens canned,0.082,169.9,0.1,2.2,28.8,0.4,30.2,203,0.066,0.3
hearts of palm,0.1,19.1,0.066,1,12.5,0.5,21.5,58.4,0.09,0.4
spinach canned,0.7,194.2,0.3,3.7,131,1.2,74.9,538.2,0.053,1
sweet potato canned,0.3,95.7,0.8,5.1,82.9,3.2,172.3,1180.3,0.037,1.2
corn canned,0.2,0,3.2,0.02,0.3,12,0.085,36.8,108.8,0.051
peas carrots canned,0.7,0.059,58.7,0.3,1.9,35.7,0.9,117.3,255,0.05
crookneck squash canned,0.006,25.2,0.2,1.5,27.3,0.2,44.1,201.6,0.026,0.6
tomatoes canned,0.3,82.3,0.4,3.1,48.4,0.4,77.4,709.1,0.096,0.7
pimento canned,0.006,11.5,0.071,3.2,11.5,0.2,32.6,303.4,0.099,0.4
sweet green peppers canned,1.9,57.4,0.2,1.1,15.4,0.2,28,204.4,0.061,0.3
peas canned,0.2,0,19.2,0.091,0.9,14.4,0.2,52,84,0
chili peppers canned,0.6,50,0,1.8,5.6,0,15.3,157.1,0.043,0.1
green peppers canned,0.9,5.1,0.062,0.4,10.2,0.1,12.4,136.5,0.034,0.1
grape leaves canned,0.8,81.8,0.5,0.8,4,0.004,9.6,8.2,0.044,0.1
sauerkraut canned,0.9,0.096,42.6,0.1,2.1,18.5,0.2,28.4,241.4,0.094
beets canned,0.02,32,0.2,1.5,39.4,0.6,39.4,349.3,0.063,0.6
stewed tomatoes canned,0.6,0.039,86.7,0.3,3.4,30.6,0.2,51,527.9,0.082
tomato paste canned,2.1,94.3,1,7.8,110,0.8,217.5,2656.7,0.07,1.7
bacon ranch salad mcdonalds,0.9,146.7,0,1.9,0,0,0,0,0,0
caesar salad with grilled chicken mcdonalds,0.6,189.4,0,1.8,0,0,0,754.8,0,0
caesar salad mcdonalds,0.2,183.2,0,1.3,19.2,0,168.3,460.1,0.068,0
vegetable salad,0.025,17.9,0.053,0.9,15.2,0.2,53.8,237.4,0.055,0.3
vegetable salad with chicken,0.1,24.7,0.08,0.7,21.8,0.2,113.3,297.9,0.014,0.6
potato salad,1.3,47.5,0.3,1.6,37.5,0.3,130,635,0.081,0.8
taco salad taco bell,1.9,506.4,0.8,9.4,143.9,1.4,549,1220.6,0.095,6.2
iceberg lettuce,0.022,0.079,10.3,0.033,0.2,4,0.061,11.4,80.4,0.007
cornsalad,0.067,0,21.3,0.092,1.2,7.3,0.2,29.7,257,0.006
potato salad with egg,0.8,37.5,0.1,1.3,37.5,0.3,132.5,605,0.039,0.8
side salad mcdonalds,0.037,20.9,0,0.6,0,0,0,191.4,0,0
caesar salad with crispy chicken mcdonalds,0.7,188.5,0,1.8,0,0,0,784.9,0,0
grape apple salad with walnuts,0.087,70.1,0.2,0.5,27.7,0.3,97.8,264.1,0.016,0.6
vegetable salad with cheese egg,0.044,66.5,0.083,0.4,15.9,0.2,88.2,247.3,0.036,0.7
celtuce,0.094,3.1,0.047,0.079,2.2,0.049,3.1,26.4,0.074,0.045
arugula,0.018,32,0.072,0.3,9.4,0.095,10.4,73.8,0.011,0.091
vegetable salad with shrimp,0.3,39.3,0.1,0.6,25.2,0.082,107,269,0.088,0.8
coleslaw,0.4,0.1,57.3,0.039,0.4,15.3,0.2,38.2,246.4,0
shiitake mushrooms cooked,0.048,0,0.5,0.2,0.042,2.5,0.086,5.2,21.1,0.055
shiitake mushrooms raw,0.096,0.4,0.015,0.05,3.8,0.09,21.3,57.8,0.014,0.2
crimini mushrooms,0.086,0,1.1,0.098,0.007,0.5,0.048,7.2,26.9,0.038
mushrooms raw,0.053,2.1,0.2,0.4,6.3,0.042,60.2,222.6,0.061,0.4
portabella mushrooms grilled,0.047,0,3.6,0.5,0.5,15.7,0.012,163.4,528.8,0.074
maitake mushrooms,0.059,0,0.063,0.013,0.088,0.1,0.082,0.8,2.2,0.035
shiitake mushrooms dried,0.086,0.4,0.2,0.022,4.8,0.051,10.6,55.2,0.091,0.3
chanterelle mushrooms,0.028,0,0.8,0.067,0.2,0.7,0.024,3.1,27.3,0.064
cloud ear fungus dried,0.036,44.5,0.022,1.6,23.2,0.5,51.5,211.1,0.089,0.4
mushrooms cooked,0.011,0,9.4,0.8,2.7,18.7,0.2,135.7,555.4,0.05
pepeao dried,0.072,0,27.1,1.2,1.5,35,0.3,27.8,169.9,0.022
truffles,0.034,18.8,0.005,0.2,5.8,0.09,20.5,35.6,0.032,0.2
jews ear,0.027,15.8,0.4,0.6,24.8,0.04,13.9,42.6,0.034,0.7
enoki mushrooms,0.084,0,0,0.099,0.034,0.5,0.015,3.2,10.8,0.096
morel mushrooms,0.08,0,5.5,0.056,1.6,2.5,0.06,25,53,0.069
portabella mushrooms raw,0.014,2.6,0.2,0.3,0,0.092,92.9,313,0.015,0.5
oyster mushroom,0.098,0,0.5,0.008,0.2,2.7,0.055,18,63,0.048
