food,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats
scallop raw,0.091,0.089,0.026,0.005
lobster raw,1.1,0.3,0.3,0.4
scallop imitation,0.1,0.065,0.085,0.098
blue crab raw,0.2,0.067,0.048,0.063
whelk raw,0.1,0.096,0.067,0.005
spiny lobster raw,3.2,0.5,0.6,1.2
clams canned,2.5,0.5,0.3,0.5
lobster cooked,1.3,0.3,0.4,0.5
eastern oyster fried,1.8,0.5,0.7,0.5
clams raw,2.2,0.4,0.3,0.4
octopus cooked,1.8,0.4,0.3,0.4
eastern oyster raw,0.2,0,0.087,0.091
oyster fried,3,0.8,1.2,0.8
sturgeon smoked,1.2,0.3,0.7,0.1
chinook salmon smoked,5.9,1.3,2.8,1.4
cisco smoked,3.4,0.5,1.6,0.6
haddock smoked,0.3,0.049,0.006,0.055
whitefish smoked,1.3,0.3,0.4,0.4
red salmon sockeye filets smoked,12.3,2.8,4.3,3.7
eggnog,10.6,6.6,3.3,0.5
beer light,0,0,0,0
beer budweiser,0,0,0,0
weizenbier erdinger,18,13,1,0
beer light budweiser,0,0,0,0
beer,0,0,0,0
root beer,0,0,0,0
whiskey sour mix,0.072,0.069,0.034,0.012
whiskey sour,0,0.018,0.092,0.024
tequila sunrise,0.2,0,0,0
daiquiri,0.036,0.063,0.038,0.012
pina colada,2.7,2.3,0.1,0.035
whiskey,0,0,0,0
rum,0,0,0,0
vodka smirnoff,0.4,0.013,0.077,0.073
coffee liqueur,0.038,0.096,0.03,0.042
gin,0,0,0,0
dessert wine sweet,0,0,0,0
chenin blanc white wine,0,0,0,0
gamay red wine,0,0,0,0
late harvest white wine,0,0,0,0
gewurztraminer white wine,0,0,0,0
burgundy red wine,0,0,0,0
zinfandel red wine,0,0,0,0
muller thurgau white wine,0,0,0,0
mouvedre red wine,0,0,0,0
table wine,0,0,0,0
wine light,0,0,0,0
white wine,0,0,0,0
petite sirah red wine,0,0,0,0
non alcoholic wine,0,0,0,0
pinot noir red wine,0,0,0,0
pinot gris grigio white wine,0,0,0,0
riesling white wine,0,0,0,0
barbera red wine,0,0,0,0
lemberger red wine,0,0,0,0
merlot red wine,0,0,0,0
sangiovese red wine,0,0,0,0
sauvignon blanc white wine,0,0,0,0
syrah red wine,0,0,0,0
carignane red wine,0,0,0,0
pinot blanc white wine,0,0,0,0
semillon white wine,0,0,0,0
