food,Carbohydrates,Sugars
fruit leather,12,6.9
taffy,13.7,10.3
eisbonbons mac iver,0,0
caramels,7.8,6.6
hard candy,5.9,3.8
jellybeans,1,0.8
jellies,14.7,10.8
wheat germ toasted,14.9,2.3
crispy brown rice,27.5,2.9
bran flakes asda,0.2,0
amaranth cooked,46,0
triticale,138.5,0
barley raw,9.3,0.094
bulgur dry,37.9,0.2
cottonseed kernels roasted,32.6,0
rice bran,58.6,1.1
chaptti roti indian bread,0.089,68.4
quinoa cooked,39.4,1.6
dar vida swiss original,0.5,0
teff cooked,50,0
couscous dry,134,0
weetabix weetabix,0,0
oat bran cooked,25.1,0
buckwheat cooked,33.5,1.5
millet puffed,16.8,0.1
oat bran raw,4.9,0.1
popcorn oil popped,5,0.027
kamut cooked,52.4,0
wheat bran,37.4,0.2
cheese popcorn,5.7,0
raisin bran crunch kelloggs,21.2,9
couscous cooked,36.5,0.2
multigrain cheerios general mills,1,0.2
bulgur cooked,33.8,0.2
popcorn air popped,6.2,0.086
teff raw,141.1,3.6
spelt cooked,51.3,0
millet raw,145.7,0
popcorn unpopped,20.9,0.3
whole wheat cooked,33.2,0.2
wheat sprouted,45.9,0
whole wheat dry,21.1,0.1
caramel popcorn,22.4,15.1
wheat puffed,9.6,0
roggenmischbrot sonnenblumenkerne aldi,0,0
wheat germ,16.1,0
microwave popcorn,49.8,0.3
millet cooked,41.2,0.2
kamut raw,130.9,15.2
wheat durum,136.6,0
sorghum,143.3,0
white wheat,145.7,0.8
rye,128.2,1.7
spelt raw,122.1,11.9
buckwheat raw,8.6,0
honey cereali general mills,3,0
barley cooked,44.3,0.4
oats,6.6,0
amaranth raw,6.5,0.2
semolina,121.6,0
quinoa dry,38.5,0
wheat shredded,36.2,0.4
cattail,1,0.074
peanut granola bar,15,8.2
vanilla bluberry bar kind,0.9,0.096
coconut granola bar,15.6,9.7
almond granola bar,14.9,0
chocolate chip granola bar,17.3,0
fruit granola bar,18.6,13.3
granola bar,13.5,6
peanut bar,19,16.9
